feature,split_importance,gain_importance,gain_share
rolling_7d_mean,700,429333649.12942505,0.5673504021011178
lag_7d,554,183534567.39422607,0.24253493948520852
lag_14d,325,39432737.753601074,0.05210907569396983
lag_28d,361,16808262.716949463,0.022211570489336998
day_of_week,589,14200049.206817627,0.01876490147855844
days_since_prev_ru_holiday,690,11186477.544128418,0.014782564901739504
days_to_next_ru_holiday,647,9717599.242858887,0.012841490176865908
day_of_year,607,6992464.772033691,0.009240313933314105
is_ru_public_holiday,103,6433257.447631836,0.008501339708953597
lag_364d,549,6236536.315979004,0.008241379155264558
sale_hour,508,5870841.328643799,0.007758125167295759
days_since_may_day,719,5142384.485168457,0.006795493228482928
lag_182d,470,3781725.201904297,0.004997426403187748
lag_56d,275,3761535.3930664062,0.0049707462298872185
week_of_year,269,2712526.522705078,0.0035845152516865656
lag_91d,348,2490501.78225708,0.003291116804989007
day_of_month,493,2142260.1904907227,0.0028309269095135275
rolling_28d_mean,156,1526621.0958251953,0.002017379942915618
is_covid_period,145,1224690.0551757812,0.0016183879289735326
is_weekend,22,1099303.2265930176,0.0014526933281453318
is_ru_holiday_period,53,993260.6516113281,0.001312561526974623
rolling_56d_mean,118,695447.3670043945,0.0009190109932221124
rolling_91d_mean,145,560365.9547729492,0.0007405053165734269
is_after_rebrand,71,369970.6278076172,0.0004889041072785286
is_ru_preholiday,54,292534.3590698242,0.0003865746059811517
is_may_holiday_season,19,107486.07934570312,0.00014203934506580885
month,10,87490.458984375,0.00011561578549794247
