feature,importance
day_of_week,430
temp_c,340
lag_7d,286
lag_14d,285
rolling_mean_7d,280
sale_hour,266
lag_1d,259
is_ru_holiday_non_working,259
diff_lag_1d_roll_7d,213
diff_roll_7d_30d,208
diff_lag_1d_7d,205
diff_lag_7d_14d,198
rolling_mean_30d,182
diff_lag_1d_14d,172
rolling_std_7d,167
precipitation_mm,166
month,134
hour_cos,102
month_sin,99
dow_cos,93
month_cos,80
dow_sin,66
holiday_new_year,33
hour_sin,31
holiday_victory_day,18
holiday_defender_day,3
holiday_womens_day,2
holiday_may_day,1
holiday_unity_day,0
holiday_russia_day,0
