sale_date,sale_hour,guests_count_act,guests_count_pred,residual,fold
2025-04-27,7,24,28,-4,holiday_may2025
2025-04-27,8,41,44,-3,holiday_may2025
2025-04-27,9,64,61,3,holiday_may2025
2025-04-27,10,61,55,6,holiday_may2025
2025-04-27,11,77,83,-6,holiday_may2025
2025-04-27,12,101,90,11,holiday_may2025
2025-04-27,13,129,108,21,holiday_may2025
2025-04-27,14,151,125,26,holiday_may2025
2025-04-27,15,138,134,4,holiday_may2025
2025-04-27,16,129,138,-9,holiday_may2025
2025-04-27,17,137,134,3,holiday_may2025
2025-04-27,18,132,142,-10,holiday_may2025
2025-04-27,19,119,118,1,holiday_may2025
2025-04-27,20,102,114,-12,holiday_may2025
2025-04-27,21,93,103,-10,holiday_may2025
2025-04-27,22,98,94,4,holiday_may2025
2025-04-28,7,47,54,-7,holiday_may2025
2025-04-28,8,85,74,11,holiday_may2025
2025-04-28,9,96,84,12,holiday_may2025
2025-04-28,10,80,85,-5,holiday_may2025
2025-04-28,11,127,107,20,holiday_may2025
2025-04-28,12,175,170,5,holiday_may2025
2025-04-28,13,186,165,21,holiday_may2025
2025-04-28,14,168,150,18,holiday_may2025
2025-04-28,15,160,149,11,holiday_may2025
2025-04-28,16,151,141,10,holiday_may2025
2025-04-28,17,139,141,-2,holiday_may2025
2025-04-28,18,154,139,15,holiday_may2025
2025-04-28,19,134,139,-5,holiday_may2025
2025-04-28,20,118,115,3,holiday_may2025
2025-04-28,21,98,108,-10,holiday_may2025
2025-04-28,22,71,86,-15,holiday_may2025
2025-04-29,7,51,51,0,holiday_may2025
2025-04-29,8,89,72,17,holiday_may2025
2025-04-29,9,94,83,11,holiday_may2025
2025-04-29,10,88,79,9,holiday_may2025
2025-04-29,11,105,104,1,holiday_may2025
2025-04-29,12,169,157,12,holiday_may2025
2025-04-29,13,188,167,21,holiday_may2025
2025-04-29,14,164,143,21,holiday_may2025
2025-04-29,15,160,140,20,holiday_may2025
2025-04-29,16,135,138,-3,holiday_may2025
2025-04-29,17,140,135,5,holiday_may2025
2025-04-29,18,179,138,41,holiday_may2025
2025-04-29,19,150,134,16,holiday_may2025
2025-04-29,20,121,118,3,holiday_may2025
2025-04-29,21,84,104,-20,holiday_may2025
2025-04-29,22,79,86,-7,holiday_may2025
2025-04-30,7,55,49,6,holiday_may2025
2025-04-30,8,83,73,10,holiday_may2025
2025-04-30,9,92,83,9,holiday_may2025
2025-04-30,10,81,77,4,holiday_may2025
2025-04-30,11,156,102,54,holiday_may2025
2025-04-30,12,173,152,21,holiday_may2025
2025-04-30,13,195,163,32,holiday_may2025
2025-04-30,14,187,142,45,holiday_may2025
2025-04-30,15,160,142,18,holiday_may2025
2025-04-30,16,132,136,-4,holiday_may2025
2025-04-30,17,176,136,40,holiday_may2025
2025-04-30,18,157,137,20,holiday_may2025
2025-04-30,19,145,130,15,holiday_may2025
2025-04-30,20,132,113,19,holiday_may2025
2025-04-30,21,115,103,12,holiday_may2025
2025-04-30,22,96,79,17,holiday_may2025
2025-05-01,7,39,29,10,holiday_may2025
2025-05-01,8,46,49,-3,holiday_may2025
2025-05-01,9,55,62,-7,holiday_may2025
2025-05-01,10,52,61,-9,holiday_may2025
2025-05-01,11,52,82,-30,holiday_may2025
2025-05-01,12,71,103,-32,holiday_may2025
2025-05-01,13,81,108,-27,holiday_may2025
2025-05-01,14,105,116,-11,holiday_may2025
2025-05-01,15,96,118,-22,holiday_may2025
2025-05-01,16,96,115,-19,holiday_may2025
2025-05-01,17,95,119,-24,holiday_may2025
2025-05-01,18,100,118,-18,holiday_may2025
2025-05-01,19,88,112,-24,holiday_may2025
2025-05-01,20,80,102,-22,holiday_may2025
2025-05-01,21,65,90,-25,holiday_may2025
2025-05-01,22,51,64,-13,holiday_may2025
2025-05-02,7,20,45,-25,holiday_may2025
2025-05-02,8,38,66,-28,holiday_may2025
2025-05-02,9,56,77,-21,holiday_may2025
2025-05-02,10,61,76,-15,holiday_may2025
2025-05-02,11,80,91,-11,holiday_may2025
2025-05-02,12,109,148,-39,holiday_may2025
2025-05-02,13,131,146,-15,holiday_may2025
2025-05-02,14,124,128,-4,holiday_may2025
2025-05-02,15,143,130,13,holiday_may2025
2025-05-02,16,148,132,16,holiday_may2025
2025-05-02,17,145,135,10,holiday_may2025
2025-05-02,18,131,141,-10,holiday_may2025
2025-05-02,19,113,130,-17,holiday_may2025
2025-05-02,20,110,114,-4,holiday_may2025
2025-05-02,21,108,109,-1,holiday_may2025
2025-05-02,22,125,85,40,holiday_may2025
2025-05-03,7,27,24,3,holiday_may2025
2025-05-03,8,23,42,-19,holiday_may2025
2025-05-03,9,54,52,2,holiday_may2025
2025-05-03,10,57,60,-3,holiday_may2025
2025-05-03,11,60,80,-20,holiday_may2025
2025-05-03,12,86,102,-16,holiday_may2025
2025-05-03,13,103,111,-8,holiday_may2025
2025-05-03,14,109,121,-12,holiday_may2025
2025-05-03,15,119,123,-4,holiday_may2025
2025-05-03,16,125,124,1,holiday_may2025
2025-05-03,17,140,125,15,holiday_may2025
2025-05-03,18,134,123,11,holiday_may2025
2025-05-03,19,113,104,9,holiday_may2025
2025-05-03,20,112,96,16,holiday_may2025
2025-05-03,21,105,92,13,holiday_may2025
2025-05-03,22,131,89,42,holiday_may2025
