sale_date,sale_hour,guests_count_act,guests_count_pred,residual,fold
2026-04-20,7,57,54,3,recent_w1
2026-04-20,8,93,84,9,recent_w1
2026-04-20,9,95,87,8,recent_w1
2026-04-20,10,71,83,-12,recent_w1
2026-04-20,11,96,105,-9,recent_w1
2026-04-20,12,161,182,-21,recent_w1
2026-04-20,13,167,192,-25,recent_w1
2026-04-20,14,158,155,3,recent_w1
2026-04-20,15,129,150,-21,recent_w1
2026-04-20,16,139,129,10,recent_w1
2026-04-20,17,118,138,-20,recent_w1
2026-04-20,18,135,143,-8,recent_w1
2026-04-20,19,132,128,4,recent_w1
2026-04-20,20,101,116,-15,recent_w1
2026-04-20,21,86,96,-10,recent_w1
2026-04-20,22,63,78,-15,recent_w1
2026-04-21,7,49,57,-8,recent_w1
2026-04-21,8,88,89,-1,recent_w1
2026-04-21,9,103,93,10,recent_w1
2026-04-21,10,81,87,-6,recent_w1
2026-04-21,11,102,112,-10,recent_w1
2026-04-21,12,186,195,-9,recent_w1
2026-04-21,13,185,210,-25,recent_w1
2026-04-21,14,179,160,19,recent_w1
2026-04-21,15,135,157,-22,recent_w1
2026-04-21,16,127,137,-10,recent_w1
2026-04-21,17,128,139,-11,recent_w1
2026-04-21,18,149,146,3,recent_w1
2026-04-21,19,138,136,2,recent_w1
2026-04-21,20,123,115,8,recent_w1
2026-04-21,21,94,96,-2,recent_w1
2026-04-21,22,82,77,5,recent_w1
2026-04-22,7,50,55,-5,recent_w1
2026-04-22,8,95,87,8,recent_w1
2026-04-22,9,99,97,2,recent_w1
2026-04-22,10,88,87,1,recent_w1
2026-04-22,11,118,104,14,recent_w1
2026-04-22,12,168,193,-25,recent_w1
2026-04-22,13,206,208,-2,recent_w1
2026-04-22,14,153,170,-17,recent_w1
2026-04-22,15,137,154,-17,recent_w1
2026-04-22,16,131,139,-8,recent_w1
2026-04-22,17,142,144,-2,recent_w1
2026-04-22,18,148,154,-6,recent_w1
2026-04-22,19,141,137,4,recent_w1
2026-04-22,20,106,125,-19,recent_w1
2026-04-22,21,89,99,-10,recent_w1
2026-04-22,22,82,84,-2,recent_w1
2026-04-23,7,45,58,-13,recent_w1
2026-04-23,8,86,94,-8,recent_w1
2026-04-23,9,83,98,-15,recent_w1
2026-04-23,10,63,91,-28,recent_w1
2026-04-23,11,90,111,-21,recent_w1
2026-04-23,12,164,199,-35,recent_w1
2026-04-23,13,178,199,-21,recent_w1
2026-04-23,14,149,172,-23,recent_w1
2026-04-23,15,134,164,-30,recent_w1
2026-04-23,16,124,140,-16,recent_w1
2026-04-23,17,129,146,-17,recent_w1
2026-04-23,18,144,155,-11,recent_w1
2026-04-23,19,140,141,-1,recent_w1
2026-04-23,20,108,122,-14,recent_w1
2026-04-23,21,99,105,-6,recent_w1
2026-04-23,22,75,83,-8,recent_w1
2026-04-24,7,62,60,2,recent_w1
2026-04-24,8,91,105,-14,recent_w1
2026-04-24,9,102,105,-3,recent_w1
2026-04-24,10,88,100,-12,recent_w1
2026-04-24,11,100,115,-15,recent_w1
2026-04-24,12,189,207,-18,recent_w1
2026-04-24,13,190,213,-23,recent_w1
2026-04-24,14,201,177,24,recent_w1
2026-04-24,15,149,167,-18,recent_w1
2026-04-24,16,150,156,-6,recent_w1
2026-04-24,17,151,170,-19,recent_w1
2026-04-24,18,154,173,-19,recent_w1
2026-04-24,19,153,157,-4,recent_w1
2026-04-24,20,136,136,0,recent_w1
2026-04-24,21,110,116,-6,recent_w1
2026-04-24,22,92,98,-6,recent_w1
2026-04-25,7,23,37,-14,recent_w1
2026-04-25,8,58,68,-10,recent_w1
2026-04-25,9,70,76,-6,recent_w1
2026-04-25,10,71,74,-3,recent_w1
2026-04-25,11,85,93,-8,recent_w1
2026-04-25,12,133,130,3,recent_w1
2026-04-25,13,155,149,6,recent_w1
2026-04-25,14,138,149,-11,recent_w1
2026-04-25,15,162,148,14,recent_w1
2026-04-25,16,144,143,1,recent_w1
2026-04-25,17,137,155,-18,recent_w1
2026-04-25,18,156,143,13,recent_w1
2026-04-25,19,141,126,15,recent_w1
2026-04-25,20,114,121,-7,recent_w1
2026-04-25,21,100,105,-5,recent_w1
2026-04-25,22,118,94,24,recent_w1
2026-04-26,7,8,26,-18,recent_w1
2026-04-26,8,20,48,-28,recent_w1
2026-04-26,9,17,57,-40,recent_w1
2026-04-26,10,56,56,0,recent_w1
2026-04-26,11,61,73,-12,recent_w1
2026-04-26,12,81,99,-18,recent_w1
2026-04-26,13,116,126,-10,recent_w1
2026-04-26,14,122,132,-10,recent_w1
2026-04-26,15,108,137,-29,recent_w1
2026-04-26,16,116,129,-13,recent_w1
2026-04-26,17,129,134,-5,recent_w1
2026-04-26,18,127,133,-6,recent_w1
2026-04-26,19,128,116,12,recent_w1
2026-04-26,20,100,107,-7,recent_w1
2026-04-26,21,70,90,-20,recent_w1
2026-04-26,22,76,88,-12,recent_w1
