station_key,version,guests_count,reqlabor
BVR,будни/осн.,229,1
BVR,будни/осн.,375,2
BVR,будни/осн.,425,3
C,будни/осн.,36,1
C,будни/осн.,102,2
C,будни/осн.,124,3
C,будни/осн.,155,4
C,будни/осн.,190,5
C,будни/осн.,205,6
C,будни/осн.,352,7
C,будни/осн.,375,8
C,будни/осн.,425,9
FF,будни/осн.,233,1
FF,будни/осн.,352,2
FF,будни/осн.,375,4
FF,будни/осн.,425,5
K,будни/осн.,16,1
K,будни/осн.,45,2
K,будни/осн.,58,3
K,будни/осн.,70,4
K,будни/осн.,131,5
K,будни/осн.,157,6
K,будни/осн.,195,7
K,будни/осн.,214,8
K,будни/осн.,255,9
K,будни/осн.,283,10
K,будни/осн.,295,11
K,будни/осн.,349,12
K,будни/осн.,375,13
K,будни/осн.,425,14
TS,будни/осн.,197,1
TS,будни/осн.,352,4
TS,будни/осн.,375,2
TS,будни/осн.,425,3
BVR,будни/утр.,205,1
BVR,будни/утр.,405,2
BVR,будни/утр.,455,3
C,будни/утр.,38,1
C,будни/утр.,103,2
C,будни/утр.,131,3
C,будни/утр.,177,4
C,будни/утр.,190,5
C,будни/утр.,223,6
C,будни/утр.,231,7
C,будни/утр.,331,8
C,будни/утр.,363,9
C,будни/утр.,381,10
C,будни/утр.,405,11
C,будни/утр.,455,12
FF,будни/утр.,257,1
FF,будни/утр.,405,2
FF,будни/утр.,455,3
K,будни/утр.,16,1
K,будни/утр.,43,2
K,будни/утр.,66,3
K,будни/утр.,83,4
K,будни/утр.,126,5
K,будни/утр.,153,6
K,будни/утр.,215,7
K,будни/утр.,231,8
K,будни/утр.,250,9
K,будни/утр.,276,10
K,будни/утр.,331,12
K,будни/утр.,387,13
K,будни/утр.,405,14
K,будни/утр.,455,15
TS,будни/утр.,115,1
TS,будни/утр.,227,2
TS,будни/утр.,238,3
TS,будни/утр.,331,4
TS,будни/утр.,405,5
TS,будни/утр.,455,6
BVR,вых/осн.,230,1
BVR,вых/осн.,364,2
BVR,вых/осн.,414,3
C,вых/осн.,47,1
C,вых/осн.,68,2
C,вых/осн.,108,3
C,вых/осн.,144,4
C,вых/осн.,164,5
C,вых/осн.,242,6
C,вых/осн.,244,7
C,вых/осн.,292,8
C,вых/осн.,322,10
C,вых/осн.,364,11
C,вых/осн.,414,12
FF,вых/осн.,265,1
FF,вых/осн.,364,2
FF,вых/осн.,414,3
K,вых/осн.,9,1
K,вых/осн.,42,2
K,вых/осн.,64,3
K,вых/осн.,84,4
K,вых/осн.,112,5
K,вых/осн.,132,6
K,вых/осн.,183,7
K,вых/осн.,228,8
K,вых/осн.,240,9
K,вых/осн.,282,10
K,вых/осн.,292,11
K,вых/осн.,343,13
K,вых/осн.,353,14
K,вых/осн.,364,15
K,вых/осн.,414,16
TS,вых/осн.,120,1
TS,вых/осн.,257,2
TS,вых/осн.,292,3
TS,вых/осн.,300,4
TS,вых/осн.,364,5
TS,вых/осн.,414,6
BVR,вых/утр.,212,1
BVR,вых/утр.,312,2
BVR,вых/утр.,362,3
C,вых/утр.,40,1
C,вых/утр.,98,2
C,вых/утр.,119,3
C,вых/утр.,158,4
C,вых/утр.,199,5
C,вых/утр.,222,6
C,вых/утр.,262,7
C,вых/утр.,312,8
C,вых/утр.,362,9
FF,вых/утр.,312,1
FF,вых/утр.,362,2
K,вых/утр.,14,1
K,вых/утр.,52,2
K,вых/утр.,75,3
K,вых/утр.,105,4
K,вых/утр.,163,5
K,вых/утр.,201,6
K,вых/утр.,212,7
K,вых/утр.,247,8
K,вых/утр.,271,9
K,вых/утр.,297,10
K,вых/утр.,312,11
K,вых/утр.,362,12
TS,вых/утр.,212,1
TS,вых/утр.,312,2
TS,вых/утр.,362,3
