employee_id,station_key,station_priority
0,BVR,2
1,BVR,2
2,BVR,2
3,BVR,2
4,BVR,2
5,BVR,2
6,BVR,2
7,BVR,2
8,BVR,2
9,BVR,2
10,BVR,2
11,BVR,2
12,BVR,2
13,BVR,2
14,BVR,2
15,BVR,2
16,BVR,2
17,BVR,2
18,BVR,2
19,BVR,2
20,BVR,2
21,BVR,2
22,BVR,2
23,BVR,2
24,BVR,2
25,BVR,2
26,BVR,2
27,BVR,2
28,BVR,2
29,BVR,2
30,BVR,2
31,BVR,2
32,BVR,2
33,BVR,2
34,BVR,2
35,BVR,2
36,BVR,2
37,BVR,2
38,BVR,2
39,BVR,2
40,BVR,2
41,BVR,2
42,BVR,2
43,BVR,2
44,BVR,2
45,BVR,2
46,BVR,2
47,BVR,2
48,BVR,2
49,BVR,2
50,BVR,2
51,BVR,2
52,BVR,2
53,BVR,2
54,BVR,2
55,BVR,2
56,BVR,2
57,BVR,2
58,BVR,2
59,BVR,2
60,BVR,2
61,BVR,2
62,BVR,2
63,BVR,2
64,BVR,2
65,BVR,2
66,BVR,2
67,BVR,2
68,BVR,2
0,C,4
1,C,4
2,C,4
3,C,4
4,C,4
5,C,4
6,C,1
7,C,4
8,C,4
9,C,4
10,C,4
11,C,4
12,C,4
13,C,4
14,C,4
15,C,4
16,C,1
17,C,4
18,C,4
19,C,4
20,C,4
21,C,4
22,C,4
23,C,4
24,C,1
25,C,1
26,C,4
27,C,1
28,C,4
29,C,1
30,C,1
31,C,4
32,C,1
33,C,4
34,C,1
35,C,4
36,C,4
37,C,1
38,C,4
39,C,1
40,C,4
41,C,1
42,C,1
43,C,4
44,C,4
45,C,4
46,C,4
47,C,4
48,C,4
49,C,4
50,C,4
51,C,4
52,C,4
53,C,4
54,C,4
55,C,1
56,C,4
57,C,1
58,C,4
59,C,4
60,C,4
61,C,4
62,C,4
63,C,1
64,C,4
65,C,4
66,C,4
67,C,4
68,C,1
0,FF,1
1,FF,2
2,FF,1
3,FF,1
4,FF,2
5,FF,2
6,FF,2
7,FF,2
8,FF,2
9,FF,1
10,FF,1
11,FF,2
12,FF,2
13,FF,2
14,FF,2
15,FF,2
16,FF,2
17,FF,2
18,FF,1
19,FF,1
20,FF,1
21,FF,2
22,FF,1
23,FF,2
24,FF,2
25,FF,2
26,FF,1
27,FF,2
28,FF,2
29,FF,2
30,FF,2
31,FF,2
32,FF,2
33,FF,1
34,FF,2
35,FF,1
36,FF,1
37,FF,2
38,FF,1
39,FF,2
40,FF,2
41,FF,2
42,FF,2
43,FF,2
44,FF,2
45,FF,1
46,FF,1
47,FF,1
48,FF,1
49,FF,2
50,FF,1
51,FF,1
52,FF,2
53,FF,2
54,FF,2
55,FF,2
56,FF,2
57,FF,2
58,FF,1
59,FF,2
60,FF,1
61,FF,1
62,FF,1
63,FF,2
64,FF,1
65,FF,2
66,FF,2
67,FF,2
68,FF,2
0,K,2
1,K,1
2,K,2
3,K,2
4,K,1
5,K,1
6,K,2
7,K,1
8,K,1
9,K,2
10,K,2
11,K,1
12,K,1
13,K,1
14,K,1
15,K,1
16,K,2
17,K,1
18,K,2
19,K,2
20,K,2
21,K,1
22,K,2
23,K,1
24,K,2
25,K,2
26,K,2
27,K,2
28,K,1
29,K,2
30,K,2
31,K,1
32,K,2
33,K,2
34,K,2
35,K,2
36,K,2
37,K,2
38,K,2
39,K,2
40,K,1
41,K,2
42,K,2
43,K,1
44,K,1
45,K,2
46,K,2
47,K,2
48,K,2
49,K,1
50,K,2
51,K,2
52,K,1
53,K,1
54,K,1
55,K,2
56,K,1
57,K,2
58,K,2
59,K,1
60,K,2
61,K,2
62,K,2
63,K,2
64,K,2
65,K,1
66,K,1
67,K,1
68,K,2
0,TS,2
1,TS,2
2,TS,2
3,TS,2
4,TS,2
5,TS,2
6,TS,2
7,TS,2
8,TS,2
9,TS,2
10,TS,2
11,TS,2
12,TS,2
13,TS,2
14,TS,2
15,TS,2
16,TS,2
17,TS,2
18,TS,2
19,TS,2
20,TS,2
21,TS,2
22,TS,2
23,TS,2
24,TS,2
25,TS,2
26,TS,2
27,TS,2
28,TS,2
29,TS,2
30,TS,2
31,TS,2
32,TS,2
33,TS,2
34,TS,2
35,TS,2
36,TS,2
37,TS,2
38,TS,2
39,TS,2
40,TS,2
41,TS,2
42,TS,2
43,TS,2
44,TS,2
45,TS,2
46,TS,2
47,TS,2
48,TS,2
49,TS,2
50,TS,2
51,TS,2
52,TS,2
53,TS,2
54,TS,2
55,TS,2
56,TS,2
57,TS,2
58,TS,2
59,TS,2
60,TS,2
61,TS,2
62,TS,2
63,TS,2
64,TS,2
65,TS,2
66,TS,2
67,TS,2
68,TS,2
